0	20
1	9
2	31
3	234
4	776
5	1326
6	1621
7	1464
8	1151
9	795
10	521
11	280
12	163
13	107
14	60
15	43
16	17
17	12
18	8
19	5
20	8
21	9
22	1
23	4
24	7
25	4
26	3
27	3
28	5
29	4
30	7
31	2
32	2
33	4
34	5
35	9
36	8
37	4
38	2
39	7
40	6
41	9
42	4
43	3
44	7
45	8
46	8
47	6
48	6
49	8
50	10
51	6
52	8
53	4
54	4
55	10
56	7
57	3
58	2
59	8
60	8
61	9
62	6
63	7
64	2
65	3
66	6
67	9
68	7
69	7
70	4
71	2
72	4
73	7
74	6
75	6
76	2
77	8
78	3
79	6
80	4
81	1
82	1
83	0
84	2
85	2
86	2
87	2
88	1
89	1
90	3
91	2
92	3
93	5
94	2
95	4
96	3
97	5
98	0
99	3
100	3
101	0
102	4
103	0
104	2
105	3
106	1
107	1
108	2
109	1
110	1
111	1
112	1
113	0
114	1
115	5
116	3
117	4
118	0
119	2
120	0
121	0
122	0
123	2
124	0
125	2
126	2
127	0
128	0
129	0
130	3
131	1
132	1
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
